Hourly measurement data supplied by UK-air on 27/02/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Birmingham Tyburn",,"Harwell",,"London Marylebone Road",,"London N. Kensington",
Latitude,,52.511722,,51.571078,,51.522530,,51.521050,,
Longitude,,-1.830583,,-1.325283,,-0.154611,,-0.213492,,
Site Type,,Urban Background,,Rural Background,,Urban Traffic,,Urban Background,,
Zone,,West Midlands,,South East,,Greater London,,Greater London,,
Agglomeration,,West Midlands Urban Area,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,
Local Authority,,"Birmingham",,"White Horse",,"Westminster",,"Kensington",,
Date,Time,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status
2010-01-01,01:00:00,9734,V particles cm-3,5459,V particles cm-3,17530,V particles cm-3,13675,V particles cm-3
2010-01-01,02:00:00,8499,V particles cm-3,4951,V particles cm-3,18110,V particles cm-3,12588,V particles cm-3
2010-01-01,03:00:00,9786,V particles cm-3,4689,V particles cm-3,15928,V particles cm-3,10470,V particles cm-3
2010-01-01,04:00:00,6317,V particles cm-3,5090,V particles cm-3,15980,V particles cm-3,7719,V particles cm-3
2010-01-01,05:00:00,4192,V particles cm-3,6166,V particles cm-3,14869,V particles cm-3,7912,V particles cm-3
2010-01-01,06:00:00,3517,V particles cm-3,5584,V particles cm-3,16789,V particles cm-3,8590,V particles cm-3
2010-01-01,07:00:00,7503,V particles cm-3,5576,V particles cm-3,14737,V particles cm-3,9999,V particles cm-3
2010-01-01,08:00:00,18460,V particles cm-3,4973,V particles cm-3,17719,V particles cm-3,17134,V particles cm-3
2010-01-01,09:00:00,25101,V particles cm-3,4264,V particles cm-3,17995,V particles cm-3,15063,V particles cm-3
2010-01-01,10:00:00,16132,V particles cm-3,4696,V particles cm-3,18854,V particles cm-3,13713,V particles cm-3
2010-01-01,11:00:00,17941,V particles cm-3,4451,V particles cm-3,12518,V particles cm-3,12538,V particles cm-3
2010-01-01,12:00:00,13107,V particles cm-3,4624,V particles cm-3,16072,V particles cm-3,10929,V particles cm-3
2010-01-01,13:00:00,16517,V particles cm-3,4058,V particles cm-3,13576,V particles cm-3,11753,V particles cm-3
2010-01-01,14:00:00,18909,V particles cm-3,3957,V particles cm-3,17264,V particles cm-3,13130,V particles cm-3
2010-01-01,15:00:00,14657,V particles cm-3,4129,V particles cm-3,18341,V particles cm-3,14069,V particles cm-3
