Hourly measurement data supplied by UK-air on 27/02/2024,,,,,,,,,
All Data GMT hour ending,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,
Site Name,,Chilbolton Observatory,,London Honor Oak Park,,London Marylebone Road,,London N. Kensington,
Latitude,,51.149617,,51.449674,,51.52253,,51.52105,
Longitude,,-1.438228,,-0.037418,,-0.154611,,-0.213492,
Site Type,,Rural Background,,Urban Background,,Urban Traffic,,Urban Background,
Zone,,South East,,Greater London,,Greater London,,Greater London,
Agglomeration,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,
Local Authority,,Test Valley,,Lewisham,,Westminster,,Kensington,
Date,Time,Total Number Concentration (CPC),Status,Total Number Concentration (CPC),Status,Total Number Concentration (CPC),Status,Total Number Concentration (CPC),Status
1/1/2016,1:00:00,No data,,,,17669,V particles cm-3,16949,V particles cm-3
1/1/2016,2:00:00,No data,,,,15232,V particles cm-3,18205,V particles cm-3
1/1/2016,3:00:00,No data,,,,16500,V particles cm-3,17292,V particles cm-3
1/1/2016,4:00:00,No data,,,,15861,V particles cm-3,15147,V particles cm-3
1/1/2016,5:00:00,No data,,,,15310,V particles cm-3,15336,V particles cm-3
1/1/2016,6:00:00,No data,,,,15336,V particles cm-3,15759,V particles cm-3
1/1/2016,7:00:00,No data,,,,13622,V particles cm-3,19125,V particles cm-3
1/1/2016,8:00:00,No data,,,,11155,V particles cm-3,22856,V particles cm-3
1/1/2016,9:00:00,No data,,,,10427,V particles cm-3,14690,V particles cm-3
1/1/2016,10:00:00,No data,,,,8661,V particles cm-3,8463,V particles cm-3
1/1/2016,11:00:00,No data,,,,8881,V particles cm-3,No data,V particles cm-3
1/1/2016,12:00:00,No data,,,,9947,V particles cm-3,11747,V particles cm-3
1/1/2016,13:00:00,No data,,,,10267,V particles cm-3,8377,V particles cm-3
1/1/2016,14:00:00,No data,,,,9773,V particles cm-3,10908,V particles cm-3
1/1/2016,15:00:00,No data,,,,10116,V particles cm-3,11401,V particles cm-3
1/1/2016,16:00:00,No data,,,,9921,V particles cm-3,10213,V particles cm-3
1/1/2016,17:00:00,No data,,,,9850,V particles cm-3,8686,V particles cm-3
1/1/2016,18:00:00,No data,,,,9683,V particles cm-3,8775,V particles cm-3
1/1/2016,19:00:00,No data,,,,9633,V particles cm-3,7450,V particles cm-3
1/1/2016,20:00:00,No data,,,,9831,V particles cm-3,7504,V particles cm-3
1/1/2016,21:00:00,No data,,,,9980,V particles cm-3,6834,V particles cm-3
1/1/2016,22:00:00,No data,,,,9803,V particles cm-3,7195,V particles cm-3
1/1/2016,23:00:00,No data,,,,9398,V particles cm-3,7322,V particles cm-3
1/1/2016,24:00:00,No data,,,,7381,V particles cm-3,5810,V particles cm-3
1/2/2016,1:00:00,No data,,,,7493,V particles cm-3,4616,V particles cm-3
1/2/2016,2:00:00,No data,,,,5249,V particles cm-3,3694,V particles cm-3
1/2/2016,3:00:00,No data,,,,4547,V particles cm-3,3293,V particles cm-3
