"date","site","ufp","area"
2000-01-01,"belfast",NA,"belfast"
2000-01-02,"belfast",NA,"belfast"
2000-01-03,"belfast",NA,"belfast"
2000-01-04,"belfast",NA,"belfast"
2000-01-05,"belfast",NA,"belfast"
2000-01-06,"belfast",NA,"belfast"
2000-01-07,"belfast",NA,"belfast"
2000-01-08,"belfast",NA,"belfast"
2000-01-09,"belfast",NA,"belfast"
2000-01-10,"belfast",NA,"belfast"
2000-01-11,"belfast",NA,"belfast"
2000-01-12,"belfast",NA,"belfast"
2000-01-13,"belfast",NA,"belfast"
2000-01-14,"belfast",NA,"belfast"
2000-01-15,"belfast",16134.83378125,"belfast"
2000-01-16,"belfast",20682.23896875,"belfast"
2000-01-17,"belfast",NA,"belfast"
2000-01-18,"belfast",NA,"belfast"
2000-01-19,"belfast",NA,"belfast"
2000-01-20,"belfast",NA,"belfast"
2000-01-21,"belfast",NA,"belfast"
2000-01-22,"belfast",NA,"belfast"
2000-01-23,"belfast",NA,"belfast"
2000-01-24,"belfast",NA,"belfast"
2000-01-25,"belfast",NA,"belfast"
2000-01-26,"belfast",NA,"belfast"
2000-01-27,"belfast",NA,"belfast"
2000-01-28,"belfast",NA,"belfast"
2000-01-29,"belfast",18707.0438958333,"belfast"
2000-01-30,"belfast",21573.9039895833,"belfast"
2000-01-31,"belfast",51567.1001354167,"belfast"
2000-02-01,"belfast",41614.4167604167,"belfast"
2000-02-02,"belfast",40182.8499270833,"belfast"
2000-02-03,"belfast",59122.355,"belfast"
2000-02-04,"belfast",45957.6828854167,"belfast"
2000-02-05,"belfast",27137.4290208333,"belfast"
2000-02-06,"belfast",17754.8482291667,"belfast"
2000-02-07,"belfast",36729.1765591398,"belfast"
2000-02-08,"belfast",38444.4370416667,"belfast"
2000-02-09,"belfast",49828.0098645833,"belfast"
2000-02-10,"belfast",44449.8938958333,"belfast"
2000-02-11,"belfast",53240.8337083333,"belfast"
2000-02-12,"belfast",33900.46915625,"belfast"
2000-02-13,"belfast",37242.9363229167,"belfast"
2000-02-14,"belfast",41205.1613958333,"belfast"
2000-02-15,"belfast",47268.7045833333,"belfast"
2000-02-16,"belfast",46996.4163541667,"belfast"
2000-02-17,"belfast",42190.0730104167,"belfast"
2000-02-18,"belfast",33156.9054270833,"belfast"
2000-02-19,"belfast",46413.3918333333,"belfast"
2000-02-20,"belfast",35756.9552083333,"belfast"
2000-02-21,"belfast",58509.93228125,"belfast"
2000-02-22,"belfast",40386.2967395833,"belfast"
2000-02-23,"belfast",42599.2769270833,"belfast"
2000-02-24,"belfast",60167.4192083333,"belfast"
2000-02-25,"belfast",68925.4141666667,"belfast"
2000-02-26,"belfast",31101.7137604167,"belfast"
2000-02-27,"belfast",25847.8175625,"belfast"
2000-02-28,"belfast",50492.6553854167,"belfast"
2000-02-29,"belfast",42564.5612162162,"belfast"
2000-03-01,"belfast",52043.1508958333,"belfast"
2000-03-02,"belfast",70058.869375,"belfast"
2000-03-03,"belfast",77414.65703125,"belfast"
2000-03-04,"belfast",62079.3492708333,"belfast"
2000-03-05,"belfast",57874.8109473684,"belfast"
2000-03-06,"belfast",52679.7826333333,"belfast"
2000-03-07,"belfast",47850.6904210526,"belfast"
2000-03-08,"belfast",36483.326,"belfast"
2000-03-09,"belfast",49105.77034375,"belfast"
2000-03-10,"belfast",41201.4191458333,"belfast"
2000-03-11,"belfast",30905.9146145833,"belfast"
2000-03-12,"belfast",30369.2646875,"belfast"
2000-03-13,"belfast",40745.9510833333,"belfast"
2000-03-14,"belfast",34371.2105,"belfast"
2000-03-15,"belfast",38886.9742604167,"belfast"
2000-03-16,"belfast",41354.1873958333,"belfast"
2000-03-17,"belfast",33360.54725,"belfast"
2000-03-18,"belfast",27877.1370833333,"belfast"
2000-03-19,"belfast",26164.3782916667,"belfast"
2000-03-20,"belfast",42247.72665625,"belfast"
2000-03-21,"belfast",39941.244375,"belfast"
2000-03-22,"belfast",44107.14075,"belfast"
2000-03-23,"belfast",33622.6663229167,"belfast"
2000-03-24,"belfast",35593.5288125,"belfast"
2000-03-25,"belfast",34484.9875416667,"belfast"
2000-03-26,"belfast",20943.9167291667,"belfast"
2000-03-27,"belfast",46393.70796875,"belfast"
2000-03-28,"belfast",39279.4955555556,"belfast"
2000-03-29,"belfast",43168.8534375,"belfast"
2000-03-30,"belfast",38397.7354166667,"belfast"
2000-03-31,"belfast",34298.706875,"belfast"
2000-04-01,"belfast",23803.89403125,"belfast"
2000-04-02,"belfast",20222.2551145833,"belfast"
2000-04-03,"belfast",35460.481625,"belfast"
2000-04-04,"belfast",47257.5520520833,"belfast"
2000-04-05,"belfast",60652.3641666667,"belfast"
2000-04-06,"belfast",48376.0615625,"belfast"
2000-04-07,"belfast",47228.9646875,"belfast"
2000-04-08,"belfast",27311.0033125,"belfast"
2000-04-09,"belfast",27823.5288958333,"belfast"
2000-04-10,"belfast",34068.1293229167,"belfast"
2000-04-11,"belfast",24963.9778958333,"belfast"
2000-04-12,"belfast",39136.3614479167,"belfast"
2000-04-13,"belfast",23482.5481354167,"belfast"
2000-04-14,"belfast",38990.4023125,"belfast"
2000-04-15,"belfast",35479.00746875,"belfast"
2000-04-16,"belfast",18557.535625,"belfast"
2000-04-17,"belfast",39689.3711770833,"belfast"
2000-04-18,"belfast",40438.1266666667,"belfast"
2000-04-19,"belfast",36011.523375,"belfast"
2000-04-20,"belfast",18040.4355416667,"belfast"
2000-04-21,"belfast",24603.1551979167,"belfast"
2000-04-22,"belfast",13703.1298125,"belfast"
2000-04-23,"belfast",6764.90841666667,"belfast"
2000-04-24,"belfast",16582.9513333333,"belfast"
2000-04-25,"belfast",24137.1734375,"belfast"
2000-04-26,"belfast",32390.6615287356,"belfast"
2000-04-27,"belfast",26051.4988854167,"belfast"
2000-04-28,"belfast",33266.6327083333,"belfast"
2000-04-29,"belfast",28210.4332291667,"belfast"
2000-04-30,"belfast",21141.0391666667,"belfast"
2000-05-01,"belfast",29954.6881707317,"belfast"
2000-05-02,"belfast",31440.75596875,"belfast"
2000-05-03,"belfast",37582.0157083333,"belfast"
2000-05-04,"belfast",35794.1711354167,"belfast"
2000-05-05,"belfast",30697.6657291667,"belfast"
2000-05-06,"belfast",25947.0457291667,"belfast"
2000-05-07,"belfast",23734.12321875,"belfast"
2000-05-08,"belfast",40019.7117708333,"belfast"
2000-05-09,"belfast",41923.6644210526,"belfast"
2000-05-10,"belfast",34422.3156458333,"belfast"
2000-05-11,"belfast",32144.0637666667,"belfast"
2000-05-12,"belfast",34903.8330104167,"belfast"
2000-05-13,"belfast",19017.3937916667,"belfast"
2000-05-14,"belfast",12141.0457395833,"belfast"
2000-05-15,"belfast",23771.0573125,"belfast"
2000-05-16,"belfast",25225.74665625,"belfast"
2000-05-17,"belfast",31606.8865520833,"belfast"
2000-05-18,"belfast",28582.1964375,"belfast"
2000-05-19,"belfast",34808.2343020833,"belfast"
2000-05-20,"belfast",26146.1178125,"belfast"
2000-05-21,"belfast",16845.1502916667,"belfast"
2000-05-22,"belfast",33187.7741666667,"belfast"
2000-05-23,"belfast",33005.4827395833,"belfast"
2000-05-24,"belfast",43356.4485416667,"belfast"
2000-05-25,"belfast",40029.9226041667,"belfast"
2000-05-26,"belfast",37207.7459375,"belfast"
2000-05-27,"belfast",30895.4898958333,"belfast"
2000-05-28,"belfast",27283.6248125,"belfast"
2000-05-29,"belfast",34049.1439270833,"belfast"
2000-05-30,"belfast",42143.7844791667,"belfast"
2000-05-31,"belfast",33064.6850520833,"belfast"
2000-06-01,"belfast",38023.662125,"belfast"
2000-06-02,"belfast",36181.6751770833,"belfast"
2000-06-03,"belfast",26876.5196979167,"belfast"
2000-06-04,"belfast",20036.1517916667,"belfast"
2000-06-05,"belfast",30952.3560416667,"belfast"
2000-06-06,"belfast",36850.0664320988,"belfast"
2000-06-07,"belfast",39725.0220520833,"belfast"
2000-06-08,"belfast",33383.18421875,"belfast"
