Hourly measurement data supplied by UK-air on 27/02/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Birmingham Tyburn",,"Harwell",,"London Marylebone Road",,"London N. Kensington",
Latitude,,52.511722,,51.571078,,51.522530,,51.521050,,
Longitude,,-1.830583,,-1.325283,,-0.154611,,-0.213492,,
Site Type,,Urban Background,,Rural Background,,Urban Traffic,,Urban Background,,
Zone,,West Midlands,,South East,,Greater London,,Greater London,,
Agglomeration,,West Midlands Urban Area,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,
Local Authority,,"Birmingham",,"White Horse",,"Westminster",,"Kensington",,
Date,Time,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status
2011-01-01,01:00:00,13888,V particles cm-3,6228,V particles cm-3,21564,V particles cm-3,16570,V particles cm-3
2011-01-01,02:00:00,9400,V particles cm-3,2937,V particles cm-3,22094,V particles cm-3,13618,V particles cm-3
2011-01-01,03:00:00,7937,V particles cm-3,1601,V particles cm-3,26553,V particles cm-3,10362,V particles cm-3
2011-01-01,04:00:00,7569,V particles cm-3,1321,V particles cm-3,44601,V particles cm-3,9641,V particles cm-3
2011-01-01,05:00:00,7148,V particles cm-3,1548,V particles cm-3,48091,V particles cm-3,10010,V particles cm-3
2011-01-01,06:00:00,4233,V particles cm-3,1872,V particles cm-3,36259,V particles cm-3,8934,V particles cm-3
2011-01-01,07:00:00,2738,V particles cm-3,1600,V particles cm-3,23720,V particles cm-3,6750,V particles cm-3
2011-01-01,08:00:00,3786,V particles cm-3,1773,V particles cm-3,23967,V particles cm-3,7193,V particles cm-3
2011-01-01,09:00:00,4769,V particles cm-3,1960,V particles cm-3,23227,V particles cm-3,11852,V particles cm-3
2011-01-01,10:00:00,5345,V particles cm-3,2173,V particles cm-3,22955,V particles cm-3,13662,V particles cm-3
2011-01-01,11:00:00,4315,V particles cm-3,2857,V particles cm-3,22122,V particles cm-3,12789,V particles cm-3
2011-01-01,12:00:00,5009,V particles cm-3,2632,V particles cm-3,13399,V particles cm-3,7015,V particles cm-3
2011-01-01,13:00:00,4635,V particles cm-3,2397,V particles cm-3,17450,V particles cm-3,8285,V particles cm-3
2011-01-01,14:00:00,4689,V particles cm-3,2324,V particles cm-3,8949,V particles cm-3,7837,V particles cm-3
2011-01-01,15:00:00,6108,V particles cm-3,2493,V particles cm-3,17852,V particles cm-3,10831,V particles cm-3
