Hourly measurement data supplied by UK-air on 27/02/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Birmingham Tyburn",,"Harwell",,"London Marylebone Road",,"London N. Kensington",
Latitude,,52.511722,,51.571078,,51.522530,,51.521050,,
Longitude,,-1.830583,,-1.325283,,-0.154611,,-0.213492,,
Site Type,,Urban Background,,Rural Background,,Urban Traffic,,Urban Background,,
Zone,,West Midlands,,South East,,Greater London,,Greater London,,
Agglomeration,,West Midlands Urban Area,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,
Local Authority,,"Birmingham",,"White Horse",,"Westminster",,"Kensington",,
Date,Time,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status
2012-01-01,01:00:00,2914,V particles cm-3,569,V particles cm-3,29359,V particles cm-3,9281,V particles cm-3
2012-01-01,02:00:00,2267,V particles cm-3,489,V particles cm-3,30331,V particles cm-3,4867,V particles cm-3
2012-01-01,03:00:00,1347,V particles cm-3,475,V particles cm-3,28599,V particles cm-3,4591,V particles cm-3
2012-01-01,04:00:00,1167,V particles cm-3,483,V particles cm-3,24693,V particles cm-3,4412,V particles cm-3
2012-01-01,05:00:00,1507,V particles cm-3,360,V particles cm-3,25023,V particles cm-3,3686,V particles cm-3
2012-01-01,06:00:00,1366,V particles cm-3,319,V particles cm-3,29882,V particles cm-3,3571,V particles cm-3
2012-01-01,07:00:00,1577,V particles cm-3,332,V particles cm-3,19993,V particles cm-3,2911,V particles cm-3
2012-01-01,08:00:00,1513,V particles cm-3,424,V particles cm-3,20580,V particles cm-3,3011,V particles cm-3
2012-01-01,09:00:00,1270,V particles cm-3,558,V particles cm-3,26933,V particles cm-3,2831,V particles cm-3
2012-01-01,10:00:00,1748,V particles cm-3,511,V particles cm-3,27999,V particles cm-3,4086,V particles cm-3
2012-01-01,11:00:00,2044,V particles cm-3,808,V particles cm-3,20376,V particles cm-3,4425,V particles cm-3
2012-01-01,12:00:00,2554,V particles cm-3,623,V particles cm-3,21850,V particles cm-3,5698,V particles cm-3
2012-01-01,13:00:00,3307,V particles cm-3,828,V particles cm-3,26666,V particles cm-3,6056,V particles cm-3
2012-01-01,14:00:00,3942,V particles cm-3,1239,V particles cm-3,29299,V particles cm-3,6183,V particles cm-3
2012-01-01,15:00:00,4240,V particles cm-3,1472,V particles cm-3,38003,V particles cm-3,7404,V particles cm-3
