date,area,site,ufp,nonext,tmean,no2,pm10,pm25,dow,holiday
2003-01-01,london,kensington,19990.0049166667,197,7.90580749511719,25.278470993042,13.6013431549072,7.37746381759644,3,1
2003-01-02,london,kensington,20011.5347395833,196,9.7239818572998,30.856912612915,13.8251600265503,7.39603614807129,4,0
2003-01-03,london,kensington,19652.5065,209,6.59146595001221,30.5986423492432,15.7698831558228,8.04339408874512,5,0
2003-01-04,london,kensington,18203.24825,202,2.21215438842773,34.7129325866699,19.1597938537598,9.69943237304688,6,0
2003-01-05,london,kensington,28535.63278125,198,1.10597443580627,50.6991996765137,25.6328086853027,13.1374664306641,7,0
2003-01-06,london,kensington,25771.2482708333,214,1.1429500579834,46.9033546447754,22.3166465759277,10.9941148757935,1,0
2003-01-07,london,kensington,36555.7843020833,213,-0.175030216574669,50.8107414245606,20.6586456298828,10.5481977462769,2,0
2003-01-08,london,kensington,32530.2623958333,207,-1.50251424312592,58.6087303161621,21.4491558074951,11.0676584243774,3,0
2003-01-09,london,kensington,27786.91675,230,0.343331456184387,46.9561271667481,21.1584625244141,10.7032909393311,4,0
2003-01-10,london,kensington,27985.2090625,218,1.76995599269867,50.4041557312012,19.8753871917725,9.84731674194336,5,0
2003-01-11,london,kensington,41510.5936458333,237,0.449384480714798,64.9304504394531,33.4031410217285,16.6693172454834,6,0
2003-01-12,london,kensington,40380.0469791667,207,1.402627825737,57.6828994750977,35.0358619689941,17.924898147583,7,0
2003-01-13,london,kensington,25930.5003645833,199,4.12558746337891,40.4845314025879,17.4849109649658,8.22418975830078,1,0
2003-01-14,london,kensington,23474.7840104167,227,8.9318380355835,29.811393737793,21.0644435882568,8.88681411743164,2,0
2003-01-15,london,kensington,26017.1824791667,208,9.21268749237061,36.8626899719238,26.2401332855225,10.4157123565674,3,0
2003-01-16,london,kensington,31937.2416354167,229,6.3555006980896,43.693790435791,28.1114177703857,11.5822257995605,4,0
2003-01-17,london,kensington,23908.14734375,216,5.83408737182617,38.5860404968262,21.5429039001465,9.19767665863037,5,0
2003-01-18,london,kensington,26404.1036041667,194,5.80311012268066,38.0461235046387,24.7412586212158,10.4171895980835,6,0
2003-01-19,london,kensington,18482.1535416667,219,6.8440146446228,26.9054145812988,12.1122589111328,6.37364625930786,7,0
2003-01-20,london,kensington,14929.468875,220,7.48830413818359,25.9742946624756,17.9390068054199,7.80167007446289,1,0
2003-01-21,london,kensington,20887.4156041667,256,8.21025371551514,37.1174278259277,20.2064952850342,8.44406604766846,2,0
2003-01-22,london,kensington,22504.503625,207,7.18460893630981,39.0587959289551,16.7948093414307,7.74421405792236,3,0
2003-01-23,london,kensington,31664.2448333333,205,6.70431661605835,52.3503036499024,29.8049774169922,12.4592943191528,4,0
2003-01-24,london,kensington,37661.6326315789,223,4.4306263923645,59.2015838623047,34.049919128418,14.4819211959839,5,0
2003-01-25,london,kensington,20478.9149895833,231,7.08250427246094,34.7077484130859,21.0164566040039,8.91716384887695,6,0
2003-01-26,london,kensington,24905.3057291667,213,8.85195636749268,34.3396797180176,19.5904369354248,8.44067859649658,7,0
2003-01-27,london,kensington,27333.9886666667,197,11.2167320251465,35.5637016296387,15.3320255279541,7.22266006469727,1,0
2003-01-28,london,kensington,14737.80896875,190,7.03781509399414,24.784725189209,17.1288394927979,6.50443887710571,2,0
2003-01-29,london,kensington,15860.5710520833,183,5.2527027130127,29.5572299957275,17.4527893066406,6.65201711654663,3,0
2003-01-30,london,kensington,21790.3849270833,185,1.97427344322205,33.3998603820801,16.5222606658936,6.58423137664795,4,0
2003-01-31,london,kensington,32890.6703958333,211,0.573948621749878,52.6315765380859,24.0504779815674,9.51431369781494,5,0
2003-02-01,london,kensington,35445.5818229167,210,2.8823390007019,51.1428604125977,18.2912540435791,8.43292045593262,6,0
2003-02-02,london,kensington,28022.1911458333,205,4.84180116653442,25.0608654022217,14.3269643783569,6.39373397827148,7,0
2003-02-03,london,kensington,26727.8465416667,193,5.20631647109985,35.7855415344238,18.915355682373,7.57773065567017,1,0
2003-02-04,london,kensington,27681.9238541667,224,2.66474437713623,39.4933547973633,19.8613395690918,8.0576639175415,2,0
2003-02-05,london,kensington,41615.4165,191,1.91953575611115,60.6785850524902,28.3283824920654,12.875262260437,3,0
2003-02-06,london,kensington,39942.8777083333,200,2.08346295356751,61.210636138916,31.6918144226074,15.6195840835571,4,0
2003-02-07,london,kensington,32375.8687234043,194,5.65224885940552,51.9795761108399,21.6071300506592,11.554126739502,5,0
2003-02-08,london,kensington,17932.93984375,228,9.03449630737305,31.9041023254395,19.7952175140381,10.5059404373169,6,0
2003-02-09,london,kensington,17031.13196875,186,7.55803537368774,35.0619659423828,16.4882907867432,8.8346061706543,7,0
2003-02-10,london,kensington,27797.41625,205,5.39917850494385,45.6233863830566,25.8698444366455,12.9329605102539,1,0
2003-02-11,london,kensington,25557.8361770833,183,5.59662580490112,55.3815002441406,21.9284801483154,11.4371252059937,2,0
2003-02-12,london,kensington,31744.8515625,207,6.09040403366089,54.2884712219238,29.6781463623047,16.4778099060059,3,0
2003-02-13,london,kensington,33422.6156875,203,1.85291278362274,62.596076965332,45.5764503479004,24.9415416717529,4,0
2003-02-14,london,kensington,30798.2059375,213,0.951192259788513,62.8008232116699,49.0133438110352,26.8319129943848,5,0
2003-02-15,london,kensington,23197.7623958333,190,0.935905873775482,42.650032043457,29.3031826019287,16.2292098999023,6,0
2003-02-16,london,kensington,21623.5845520833,200,1.98457682132721,32.7068138122559,34.870433807373,19.7185401916504,7,0
2003-02-17,london,kensington,31860.2048854167,174,1.70108246803284,46.030933380127,29.9938049316406,15.8604612350464,1,0
2003-02-18,london,kensington,46759.5740625,232,0.682378709316254,65.865234375,37.7767639160156,19.2589836120605,2,0
2003-02-19,london,kensington,47320.7569791667,202,1.28081583976746,69.1064071655273,54.5227851867676,27.2897090911865,3,0
2003-02-20,london,kensington,43439.4835416667,220,4.40421676635742,66.3715438842774,54.1013832092285,27.8424797058106,4,0
2003-02-21,london,kensington,50312.9239583333,198,5.78173828125,79.6227340698242,65.1944580078125,34.6550598144531,5,0
2003-02-22,london,kensington,41993.1142708333,251,4.38857841491699,76.1464233398438,70.8027648925781,38.3914222717285,6,0
2003-02-23,london,kensington,22719.3459375,203,6.82476615905762,43.6499519348145,39.4120941162109,21.2384815216064,7,0
2003-02-24,london,kensington,39669.0560416667,204,8.41827011108398,55.7171936035156,43.3916778564453,22.8290386199951,1,0
2003-02-25,london,kensington,43324.0661458333,198,7.63173675537109,64.1216659545898,53.6883392333984,26.6569366455078,2,0
2003-02-26,london,kensington,42537.1176041667,187,9.36288261413574,65.8826446533203,56.928581237793,27.6536636352539,3,0
2003-02-27,london,kensington,34089.1220833333,215,9.69869136810303,54.4406509399414,40.2977485656738,20.361837387085,4,0
2003-02-28,london,kensington,20225.8336979167,222,8.85427284240723,32.2252311706543,18.5122680664063,9.13726997375488,5,0
2003-03-01,london,kensington,19699.3095520833,197,8.08705997467041,34.6256561279297,19.2301216125488,9.25008296966553,6,0
2003-03-02,london,kensington,,223,8.0217924118042,44.894718170166,22.2870922088623,10.4131374359131,7,0
2003-03-03,london,kensington,,218,5.13487911224365,52.466236114502,29.4182529449463,13.0081148147583,1,0
2003-03-04,london,kensington,,200,9.10450553894043,33.6567573547363,21.6769104003906,9.94805240631104,2,0
2003-03-05,london,kensington,,190,10.9389476776123,34.0945167541504,32.839786529541,13.5520248413086,3,0
2003-03-06,london,kensington,,205,7.90217256546021,46.8589820861816,22.8527431488037,10.0327672958374,4,0
2003-03-07,london,kensington,20181.4079375,183,7.53539419174194,33.4496231079102,21.2051029205322,9.06184864044189,5,0
2003-03-08,london,kensington,14235.9180729167,194,8.09978580474854,19.5588207244873,27.105583190918,10.9837064743042,6,0
2003-03-09,london,kensington,11607.02484375,210,10.4756059646606,16.8983745574951,30.9500751495361,12.8068008422852,7,0
2003-03-10,london,kensington,15914.88809375,223,10.2218351364136,26.2390308380127,36.0564346313477,14.1512022018433,1,0
2003-03-11,london,kensington,23107.2280104167,189,10.257342338562,32.0859184265137,22.1315727233887,9.24602127075195,2,0
2003-03-12,london,kensington,19104.70071875,219,7.22751379013062,31.416633605957,25.3596973419189,10.2078847885132,3,0
2003-03-13,london,kensington,21335.7102604167,172,6.63814163208008,35.2662811279297,26.5189018249512,10.5264415740967,4,0
2003-03-14,london,kensington,32797.4963541667,190,6.08229684829712,44.7549247741699,25.497049331665,10.3612480163574,5,0
2003-03-15,london,kensington,31741.3261458333,197,6.10500860214233,44.0290222167969,32.7841453552246,15.8914947509766,6,0
2003-03-16,london,kensington,34097.4976041667,188,7.00787687301636,57.4861221313477,43.3199348449707,24.3875713348389,7,0
2003-03-17,london,kensington,,191,7.44067716598511,65.7938461303711,54.2680435180664,29.7115859985352,1,0
2003-03-18,london,kensington,,176,7.54221630096436,51.7703437805176,38.7503280639648,21.9293422698975,2,0
2003-03-19,london,kensington,,218,7.34323072433472,79.6019897460938,52.1310729980469,28.376916885376,3,0
2003-03-20,london,kensington,,216,7.9706974029541,72.1361846923828,56.1522407531738,30.7250690460205,4,0
2003-03-21,london,kensington,,198,6.82986927032471,55.9870491027832,51.9360198974609,29.6059589385986,5,0
2003-03-22,london,kensington,,182,6.68293476104736,59.7664642333984,47.8800010681152,27.4468154907227,6,0
2003-03-23,london,kensington,,193,9.3082447052002,62.4473915100098,52.6316757202149,29.543872833252,7,0
2003-03-24,london,kensington,,202,11.5132207870483,55.5045967102051,56.949031829834,30.6218929290772,1,0
2003-03-25,london,kensington,,212,10.8660802841187,72.7088088989258,64.2484512329102,32.8479232788086,2,0
2003-03-26,london,kensington,,201,10.482593536377,76.9549026489258,75.5759963989258,37.4616851806641,3,0
2003-03-27,london,kensington,,199,10.3539028167725,65.8651809692383,49.5193367004395,27.3535938262939,4,0
2003-03-28,london,kensington,,198,9.1487512588501,68.1318435668945,68.6744918823242,37.566349029541,5,0
2003-03-29,london,kensington,,165,10.605318069458,62.8417205810547,76.6097030639649,42.674690246582,6,0
2003-03-30,london,kensington,,183,11.6259660720825,38.5780563354492,33.0413093566895,16.6466522216797,7,0
2003-03-31,london,kensington,,195,8.12324714660645,50.0846939086914,30.6042213439941,11.7788581848145,1,0
2003-04-01,london,kensington,,207,7.48806095123291,33.4386405944824,22.2788028717041,9.05806732177734,2,0
2003-04-02,london,kensington,,178,7.90079259872437,32.5539283752441,22.1162204742432,9.0562629699707,3,0
2003-04-03,london,kensington,,201,7.79594659805298,48.5540809631348,26.8795566558838,10.9538850784302,4,0
2003-04-04,london,kensington,,200,12.2965927124023,41.2528190612793,24.9686183929443,10.3577156066895,5,0
2003-04-05,london,kensington,,167,11.8030548095703,27.1983032226563,17.7279014587402,7.82360935211182,6,0
2003-04-06,london,kensington,,177,8.60900783538818,23.8965606689453,16.5884952545166,7.38891935348511,7,0
2003-04-07,london,kensington,,180,4.72977209091187,42.6362915039063,28.7538566589356,10.6105003356934,1,0
2003-04-08,london,kensington,,195,3.56783223152161,49.198127746582,25.5890636444092,10.0539274215698,2,0
2003-04-09,london,kensington,,191,3.26336264610291,46.6334991455078,22.6628246307373,9.50026893615723,3,0
2003-04-10,london,kensington,,227,3.88843822479248,46.4959945678711,22.1979389190674,9.9880952835083,4,0
2003-04-11,london,kensington,,206,4.67182731628418,57.3715476989746,28.2337036132813,14.8480892181396,5,0
2003-04-12,london,kensington,,209,6.62879657745361,55.3083152770996,37.9621429443359,19.2467269897461,6,0
2003-04-13,london,kensington,,196,11.0065774917603,39.31298828125,31.6609001159668,17.0145874023438,7,0
2003-04-14,london,kensington,,188,14.361852645874,62.7296524047852,46.9840545654297,23.0136489868164,1,0
2003-04-15,london,kensington,,199,15.7020530700684,77.3386688232422,63.4510116577149,28.047607421875,2,0
2003-04-16,london,kensington,,200,15.8961772918701,72.9189758300781,63.1615753173828,28.8579730987549,3,0
2003-04-17,london,kensington,,179,15.0632448196411,59.6785507202149,59.5936622619629,27.7755737304688,4,0
2003-04-18,london,kensington,,201,14.2347707748413,33.4667167663574,41.8804130554199,20.9307250976563,5,1
2003-04-19,london,kensington,,173,7.9794511795044,19.3759002685547,29.3745746612549,15.351188659668,6,0
2003-04-20,london,kensington,,171,10.4641313552856,25.1130199432373,67.7355804443359,31.1027965545654,7,0
2003-04-21,london,kensington,,174,12.2730121612549,30.5861644744873,37.5141983032227,20.351993560791,1,1
2003-04-22,london,kensington,,175,10.9569158554077,52.059741973877,45.0802001953125,23.8537616729736,2,0
2003-04-23,london,kensington,,202,11.491512298584,52.4886322021484,45.2707023620606,23.7099227905273,3,0
2003-04-24,london,kensington,,214,10.6805505752563,56.8881492614746,52.5390434265137,26.653377532959,4,0
2003-04-25,london,kensington,,210,13.490704536438,45.1694869995117,30.0359840393066,15.2373838424683,5,0
2003-04-26,london,kensington,,178,11.7679958343506,25.4713497161865,18.8660736083984,9.03544235229492,6,0
2003-04-27,london,kensington,,190,13.002028465271,15.6264390945435,25.3844909667969,11.292067527771,7,0
2003-04-28,london,kensington,,202,12.4576606750488,26.7677631378174,15.2973146438599,7.54888916015625,1,0
2003-04-29,london,kensington,,174,12.6765108108521,25.7722263336182,20.2048358917236,9.16772937774658,2,0
2003-04-30,london,kensington,,172,13.0302410125732,28.3342304229736,21.1462116241455,9.53704357147217,3,0
2003-05-01,london,kensington,,172,12.3199272155762,24.1673545837402,19.7172756195068,8.86857032775879,4,0
2003-05-02,london,kensington,,182,11.9388523101807,28.608377456665,17.2376232147217,8.08011245727539,5,0
2003-05-03,london,kensington,,180,12.1399803161621,19.6633377075195,18.4636554718018,8.44937133789063,6,0
2003-05-04,london,kensington,,175,15.1989059448242,23.0392761230469,20.1801261901855,9.12435245513916,7,0
2003-05-05,london,kensington,,173,14.1079721450806,21.3105697631836,18.01491355896,8.17722702026367,1,1
2003-05-06,london,kensington,,171,11.2647380828857,37.6644630432129,21.061595916748,9.13559436798096,2,0
2003-05-07,london,kensington,,161,12.4095687866211,41.9246635437012,24.0955867767334,10.4569644927979,3,0
2003-05-08,london,kensington,,177,11.7279586791992,45.9111404418945,27.2922706604004,11.6077213287354,4,0
2003-05-09,london,kensington,,180,12.6656923294067,40.4913597106934,28.408727645874,12.2822856903076,5,0
2003-05-10,london,kensington,,160,10.4168825149536,25.2170886993408,18.1936721801758,8.51176929473877,6,0
2003-05-11,london,kensington,,169,10.4532585144043,22.5840644836426,15.0726795196533,7.37867975234985,7,0
2003-05-12,london,kensington,,184,10.6854400634766,29.9014568328857,15.96471118927,7.60677671432495,1,0
2003-05-13,london,kensington,,192,8.7193775177002,31.0603580474854,15.9787950515747,7.6378436088562,2,0
2003-05-14,london,kensington,27677.2567708333,200,10.2720432281494,41.1291885375977,19.5812644958496,8.93466472625732,3,0
2003-05-15,london,kensington,25565.0530208333,188,9.728271484375,43.4721641540527,23.3902702331543,10.8696165084839,4,0
2003-05-16,london,kensington,26597.1689583333,189,9.95075035095215,39.2256240844727,23.7984066009522,11.1939754486084,5,0
2003-05-17,london,kensington,14492.9372291667,186,13.1791152954102,21.1903972625732,22.445764541626,10.9275226593018,6,0
2003-05-18,london,kensington,10974.9345625,155,13.4607172012329,14.5514011383057,25.0936717987061,11.4966115951538,7,0
